parent_strain	strain	parent_country	country	date	dist	desc_count	total_proportion	country_proportion
NODE_0001333	NODE_0001334	Switzerland	Netherlands	2020.196922394003	0.013577172593386422	8.0	0.0010301313417460727	0.012987012987012988
Turkey/HSGM-5770/2020_travel_history	Turkey/HSGM-5770/2020	Saudi Arabia	Turkey	2020.217213114754	0.0	1.0	0.0001287664177182591	0.03571428571428571
NODE_0000832	Singapore/21/2020	China	Singapore	2020.1215846994535	0.0	2.0	0.0002575328354365182	0.03571428571428571
NODE_0000570	NODE_0000540	China	Norway	2020.076980589404	0.06958610573587976	1015.0	0.13069791398403297	0.05263157894736842
England/01/2020_travel_history	England/01/2020	China	United Kingdom	2020.0806010928961	0.0	1.0	0.0001287664177182591	0.0056179775280898875
England/02/2020_travel_history	England/02/2020	China	United Kingdom	2020.0806010928961	0.0	1.0	0.0001287664177182591	0.0056179775280898875
India/1-31/2020_travel_history	India/1-31/2020	China	India	2020.0860655737704	0.0	1.0	0.0001287664177182591	0.011111111111111112
USA/AZ1/2020_travel_history	USA/AZ1/2020	China	USA	2020.061475409836	0.0	1.0	0.0001287664177182591	0.0019646365422396855
NODE_0000526	SouthKorea/KCDC24/2020	China	South Korea	2020.1024590163934	0.05026359266116742	2.0	0.0002575328354365182	0.06666666666666667
NODE_0000364	NODE_0000365	China	Australia	2020.0411655602727	0.020324857990772216	6.0	0.0007725985063095545	0.02127659574468085
USA/TX1/2020_travel_history	USA/TX1/2020	China	USA	2020.1161202185792	0.0	1.0	0.0001287664177182591	0.0019646365422396855
NODE_0000410	NODE_0000421	China	South Korea	2020.0501746261489	0.042053799013729076	40.0	0.0051506567087303634	0.13333333333333333
NODE_0000870	NODE_0000872	China	USA	2020.077229977904	0.007085673345500254	8.0	0.0010301313417460727	0.003929273084479371
NODE_0000273	NODE_0000274	Singapore	Spain	2020.1443451440944	0.03335839283704445	43.0	0.005536955961885141	0.012048192771084338
NODE_0000888	SouthKorea/KCDC06/2020	China	South Korea	2020.0833333333333	0.0033711149922055483	2.0	0.0002575328354365182	0.06666666666666667
Australia/QLD01/2020_travel_history	Australia/QLD01/2020	China	Australia	2020.077868852459	0.0	1.0	0.0001287664177182591	0.02127659574468085
NODE_0000908	USA/CA7/2020_travel_history	Australia	China	2020.1024590163934	0.019419720614678226	3.0	0.00038629925315477725	0.005208333333333333
USA/CA7/2020_travel_history	USA/CA7/2020	China	USA	2020.1024590163934	0.0	1.0	0.0001287664177182591	0.0019646365422396855
Singapore/4/2020_travel_history	Singapore/4/2020	China	Singapore	2020.094262295082	0.0	1.0	0.0001287664177182591	0.03571428571428571
NODE_0000929	NODE_0000933	India	Indonesia	2020.215376019602	0.019411073216815566	6.0	0.0007725985063095545	0.3333333333333333
NODE_0000933	Senegal/620/2020	Ghana	Senegal	2020.2199453551912	0.019615685854887488	2.0	0.0002575328354365182	0.07692307692307693
NODE_0000453	NewZealand/20VR0276/2020	India	New Zealand	2020.2062841530055	0.20089400816027592	97.0	0.01249034251867113	0.5
USA/CA1/2020_travel_history	USA/CA1/2020	China	USA	2020.0642076502731	0.0	1.0	0.0001287664177182591	0.0019646365422396855
Vietnam/VR03-38142/2020_travel_history	Vietnam/VR03-38142/2020	China	Vietnam	2020.0669398907103	0.0	1.0	0.0001287664177182591	0.14285714285714285
NODE_0000944	Vietnam/38142/2020	China	Vietnam	2020.0669398907103	0.00023415732675857726	3.0	0.00038629925315477725	0.2857142857142857
USA/IL2/2020_travel_history	USA/IL2/2020	China	USA	2020.077868852459	0.0	1.0	0.0001287664177182591	0.0019646365422396855
NODE_0000960	NODE_0000961	Norway	Georgia	2020.1590420687442	0.008774950359111244	14.0	0.0018027298480556271	0.16666666666666666
Taiwan/NTU13/2020_travel_history	Taiwan/NTU13/2020	USA	Taiwan	2020.2117486338798	0.0	1.0	0.0001287664177182591	0.05555555555555555
NODE_0000486	NODE_0000970	China	USA	2020.0776892064785	0.007192789923010423	16.0	0.0020602626834921455	0.0019646365422396855
NODE_0000980	NODE_0000508	China	Taiwan	2020.0848770321898	0.038013598529232695	6.0	0.0007725985063095545	0.05555555555555555
NODE_0000982	NewZealand/20VR0275/2020	USA	New Zealand	2020.2062841530055	0.0018449940735081327	2.0	0.0002575328354365182	0.25
NODE_0000297	Brazil/RJ-352/2020	Spain	Brazil	2020.1789617486338	0.029953654826840648	111.0	0.014293072366726757	0.027777777777777776
NODE_0000322	USA/AZ-TG271862/2020	Australia	USA	2020.2254098360656	0.030260144598287297	14.0	0.0018027298480556271	0.0019646365422396855
NODE_0000322	NODE_0001054	Germany	Sweden	2020.2117486338798	0.007773604238991538	14.0	0.0018027298480556271	0.017241379310344827
NODE_0000211	Mexico/CDMX-INCMNSZ_02/2020	Spain	Mexico	2020.1926229508197	0.017828974717758683	2.0	0.0002575328354365182	0.2
NODE_0000205	NODE_0001060	Germany	Belgium	2020.1526691245624	0.00011547109625098528	72.0	0.009271182075714654	0.009174311926605505
NODE_0001061	NODE_0001063	United Kingdom	Iceland	2020.217213114754	-0.0001523886523955298	20.0	0.0025753283543651817	0.14285714285714285
NODE_0001073	Senegal/136/2020	Brazil	Senegal	2020.200819672131	0.0	2.0	0.0002575328354365182	0.07692307692307693
NODE_0001060	NODE_0001074	Belgium	United Kingdom	2020.1610583490233	-6.579321325261844e-05	66.0	0.0084985835694051	0.033707865168539325
NODE_0001092	NODE_0001093	Australia	United Kingdom	2020.188233843209	0.012107301421110606	6.0	0.0007725985063095545	0.0056179775280898875
NODE_0001099	NODE_0001100	Australia	Japan	2020.113387978142	0.0004326806276822026	6.0	0.0007725985063095545	0.02857142857142857
NODE_0000439	Malaysia/MKAK-CL-2020-5096/2020	China	Malaysia	2020.0833333333333	0.06068245906089942	22.0	0.0028328611898017	0.16666666666666666
NODE_0000448	NODE_0000271	USA	Australia	2020.2442501290043	0.008078333173671126	6.0	0.0007725985063095545	0.02127659574468085
NODE_0000986	NODE_0000987	USA	Australia	2020.208941550452	0.008890088628277226	40.0	0.0051506567087303634	0.02127659574468085
NODE_0000990	NODE_0000993	USA	United Kingdom	2020.156911689329	0.00859786344017266	32.0	0.004120525366984291	0.0056179775280898875
NODE_0000994	NODE_0000996	Finland	Jordan	2020.1869671070262	0.007120241763914237	7.0	0.0009013649240278136	0.07692307692307693
Belgium/GHB-03021/2020_travel_history	Belgium/GHB-03021/2020	China	Belgium	2020.094262295082	0.0	1.0	0.0001287664177182591	0.0045871559633027525
Taiwan/NTU01/2020_travel_history	Taiwan/NTU01/2020	China	Taiwan	2020.0860655737704	0.0	1.0	0.0001287664177182591	0.05555555555555555
Australia/NSW01/2020_travel_history	Australia/NSW01/2020	China	Australia	2020.0669398907103	0.0	1.0	0.0001287664177182591	0.02127659574468085
NODE_0001028	NODE_0001029	Malaysia	Singapore	2020.0696721311474	0.03082463859686868	8.0	0.0010301313417460727	0.07142857142857142
USA/WA1/2020_travel_history	USA/WA1/2020	China	USA	2020.0532786885246	0.0	1.0	0.0001287664177182591	0.0019646365422396855
NODE_0000066	NODE_0001140	Iran	Thailand	2020.2287344726958	0.019703784463445118	4.0	0.0005150656708730364	0.034482758620689655
NODE_0000109	NODE_0000124	Spain	Poland	2020.214480874317	0.024926940384375484	54.0	0.00695338655678599	0.09090909090909091
NODE_0000137	Mexico/CDMX-InDRE_06/2020	Canada	Mexico	2020.198087431694	0.01794161580164655	2.0	0.0002575328354365182	0.2
NODE_0001169	Australia/WA09/2020	USA	Australia	2020.2035519125682	0.020625451419618912	7.0	0.0009013649240278136	0.02127659574468085
NODE_0001170	NODE_0000134	China	Canada	2020.074757907319	0.039243725108917715	5.0	0.0006438320885912954	0.02127659574468085
NODE_0001173	Australia/QLDID919/2020	USA	Australia	2020.1953551912568	0.003406645498898797	2.0	0.0002575328354365182	0.02127659574468085
NODE_0001178	NODE_0001179	Netherlands	Germany	2020.1871584699454	0.019835921252933986	7.0	0.0009013649240278136	0.02564102564102564
NODE_0001178	NODE_0001180	China	United Kingdom	2020.0580458150373	0.019835921252933986	7.0	0.0009013649240278136	0.0056179775280898875
Canada/BC_64686/2020_travel_history	Canada/BC_64686/2020	USA	Canada	2020.1789617486338	0.0	1.0	0.0001287664177182591	0.02127659574468085
NODE_0001204	NODE_0001206	Iran	Turkey	2020.2113130246507	0.009120420220824599	22.0	0.0028328611898017	0.03571428571428571
NODE_0001211	NODE_0001214	China	India	2020.0791847973112	0.008977588814332194	10.0	0.0012876641771825909	0.03333333333333333
NODE_0001217	NODE_0001218	United Kingdom	Australia	2020.153995821539	9.892302387015661e-05	160.0	0.020602626834921454	0.02127659574468085
NODE_0001227	NODE_0001229	United Kingdom	USA	2020.1815725041195	0.008242184387881935	6.0	0.0007725985063095545	0.0019646365422396855
NODE_0001248	NODE_0001250	United Kingdom	Taiwan	2020.2117486338798	0.0011696510246110847	6.0	0.0007725985063095545	0.05555555555555555
NODE_0001284	NODE_0001285	Israel	India	2020.2087562288184	0.01600334323848074	6.0	0.0007725985063095545	0.011111111111111112
NODE_0001245	NODE_0001287	India	Saudi Arabia	2020.2170262178076	0.0002792531745399174	126.0	0.016224568632500644	0.02702702702702703
NODE_0001287	NODE_0001288	Belgium	Germany	2020.2031091899457	0.011303965170100128	62.0	0.007983517898532062	0.10256410256410256
NODE_0001302	NODE_0001303	Italy	Luxembourg	2020.196966267988	0.009952016921033646	40.0	0.0051506567087303634	0.08333333333333333
NODE_0001311	NODE_0001315	India	Brunei	2020.2075405220205	0.007220239384878369	26.0	0.003347926860674736	0.5
NODE_0001315	NODE_0000048	China	South Korea	2020.1535509359271	0.035457042891493984	6.0	0.0007725985063095545	0.06666666666666667
NODE_0000969	Canada/NS_32/2020	Germany	Canada	2020.2062841530055	0.0294029534272795	4.0	0.0005150656708730364	0.02127659574468085
NODE_0000477	Belgium/CG-030158/2020	Germany	Belgium	2020.1680327868853	0.014097368815328082	2.0	0.0002575328354365182	0.0045871559633027525
NODE_0000478	Austria/CeMM0002/2020	Germany	Austria	2020.1571038251366	0.0	2.0	0.0002575328354365182	0.023255813953488372
NODE_0000479	NODE_0000481	Spain	Australia	2020.1976691779573	-9.680124730948592e-05	88.0	0.0113314447592068	0.02127659574468085
