parent_strain	strain	parent_country	country	date	date_lower	date_upper	div	country_entropy	dist
NODE_0002980	Wuhan/WH01/2019			None					1.9996048142582372
NODE_0002980	Wuhan/WIV05/2019			None					1.9963255783466514
NODE_0002980	Taiwan/TSGH-37/2020			None					4.997576731668407
NODE_0002980	Wuhan/IVDC-HB-05/2019			None					1.9963545277364523
NODE_0002980	Wuhan/WIV07/2019			None					1.9971009041191012
NODE_0002980	Thailand/Bangkok_168/2020			None					4.999065884190889
NODE_0002670	Romania/Focsani-268927/2020			None					18.12765383423566
NODE_0002670	Taiwan/TSGH-29/2020			None					7.011410150129518
NODE_0002980	NODE_0002639	Latvia	Latvia	2020.2388537424422	2020.2062285212455	2020.2501241360562	9.949885722305169	0.0001510873395621582	0.9921686932674874
NODE_0002639	Wuhan/IPBCAMS-WH-01/2019			None					1.998504205666706
NODE_0002639	Netherlands/Oss_1363500/2020			None					1.002312922331814
NODE_0002980	NODE_0002253	Norway	Norway	2020.2138419997618	2020.1827706227223	2020.217213114754	4.971079967162268	0.09394299974126925	0.9921686932674874
NODE_0002253	Wuhan/WIV02/2019			None					0.9978287506764634
NODE_0002253	NODE_0000006			None					0.0
NODE_0000006	Wuhan/HBCDC-HB-02/2019			None					0.0
NODE_0000006	Wuhan/IVDC-HB-GX02/2019	China	China	2019.998622651396	2019.998622651396	2019.998622651396	0.9943128555522059	-1.000088900581841e-12	0.0
NODE_0002980	NODE_0002651			None					0.9920494012951993
NODE_0002651	Wuhan/OS52/2020			None					2.9947264761427688
NODE_0002651	NODE_0002652	Portugal	Portugal	2020.21496059817	2020.2037110844458	2020.2199453551912	7.960697671937496	0.0231541749198905	2.977407720816208
NODE_0002652	Australia/VPRL014/2020			None					0.0
NODE_0002652	NODE_0000007			None					0.0
NODE_0000007	Australia/SAP214/2020			None					0.0
NODE_0000007	Australia/SAP305/2020			None					0.0
NODE_0002980	NODE_0000008			None					6.0404841804237446e-18
NODE_0000008	NODE_0002719	USA	USA	2020.2141364744332	2020.1926564504854	2020.2445355191257	7.961563206878368	1.1039625568820404	0.9920600734682284
NODE_0002719	NODE_0000019			None					0.0
NODE_0000019	Singapore/188/2020			None					1.0052004752527948
NODE_0000019	Singapore/315/2020			None					0.0
NODE_0002719	NODE_0002721			None					0.9920604836434633
NODE_0002721	Australia/VIC13/2020			None					1.996164835409386
NODE_0002721	Wuhan/HBCDC-HB-06/2020			None					2.9954540524840647
NODE_0002721	Spain/Andalucia201257/2020			None					7.0087927468003
NODE_0002721	Taiwan/CGMH-CGU-02/2020			None					3.0339446634489464
NODE_0002721	Wuhan/HBCDC-HB-02/2020			None					1.9971563746883918
NODE_0002721	Nanchang/JX39/2020	China	China	2020.0642076502731	2020.0642076502731	2020.0642076502731	3.9834795989683	-1.000088900581841e-12	1.9958419275180526
NODE_0002721	Sichuan/SC-PHCC2-045/2020			None					1.996081950866559
NODE_0002721	HongKong/HKU-904a/2020			None					1.9958625344596452
NODE_0002721	Shaoxing/10/2020			None					7.057760702499835
NODE_0002721	NODE_0002909	France	France	2020.214266428837	2020.1962595703073	2020.243720039946	4.970892207203149	0.13660561215853168	3.9718466430880097
NODE_0002909	Beijing/BJ1112/2020			None					7.010042090557045
NODE_0002909	Korea/KCDC2002/2020	South Korea	South Korea	2020.0833333333333	2020.0833333333333	2020.0833333333333	5.9680397118475135	-9.99866855976916e-13	0.0
NODE_0002909	SouthKorea/KCDC05/2020			None					0.9983473326966035
NODE_0002721	NODE_0002914	Belgium	Belgium	2020.217213114754	2020.2049412933893	2020.217213114754	4.970892207203149	0.026253107780530048	0.9920600734682283
NODE_0002914	NODE_0000023			None					0.0
NODE_0000023	HongKong/HKU-907a/2020			None					0.0
NODE_0000023	HongKong/HKU-907b/2020	Hong Kong	Hong Kong	2020.0806010928961	2020.0806010928961	2020.0806010928961	2.982380075807918	-1.000088900581841e-12	0.0
NODE_0002721	NODE_0002927			None					1.984849056669531
NODE_0002927	England/01/2020_travel_history			None					0.0
NODE_0002927	NODE_0002928	Belgium	Belgium	2020.2250611812528	2020.197853312383	2020.23087431694	4.970892207203149	0.0015973152364016532	0.9921613762804773
NODE_0002928	England/02/2020_travel_history	China	China	2020.0806010928961	2020.0806010928961	2020.0806010928961	4.979232577701013	-1.000088900581841e-12	0.0
NODE_0002928	England/20238034404/2020			None					8.881784197001252e-16
NODE_0002721	NODE_0002943			None					0.9922227684355689
NODE_0002943	Yunnan/IVDC-YN-003/2020			None					0.0
NODE_0002943	USA/AZ1/2020_travel_history			None					0.9977159626201693
NODE_0002943	Sichuan/SC-PHCC1-027/2020			None					6.995581514104433
NODE_0002918	SouthKorea/KCDC07/2020			None					1.995833233493177
NODE_0002918	Korea/KCDC2006/2020			None					0.9977047330026911
NODE_0002918	Beijing/233/2020			None					0.9989123914268401
NODE_0002918	Korea/KCDC2008/2020	South Korea	South Korea	2020.0997267759562	2020.0997267759562	2020.0997267759562	4.970843914508741	-9.99866855976916e-13	0.9977047330026911
NODE_0002918	NODE_0000028	China	China	2020.049125835332	2020.0347689383836	2020.057770644575	2.9823800758079164	0.001908740427530461	0.0
NODE_0000028	SouthKorea/KCDC03/2020			None					0.0
NODE_0000028	NODE_0000029	China	China	2020.0583716727924	2020.030516841422	2020.073232636605	2.9823800758079164	0.012643056412664009	0.0
NODE_0000029	Beijing/Wuhan_IME-BJ03/2020			None					0.0
NODE_0000029	NODE_0000031	China	China	2020.077868852459	2020.066803912053	2020.077868852459	2.9823800758079164	0.21587140047129105	0.0
NODE_0000031	SouthKorea/KUMC04/2020	South Korea	South Korea	2020.1598360655737	2020.1598360655737	2020.1598360655737	3.976728266624569	-1.000088900581841e-12	0.0
NODE_0002880	Sichuan/SC-PHCC2-040/2020			None					0.997732176092526
NODE_0002880	Thailand/Bangkok_580/2020			None					1.9982755955472413
NODE_0002880	Guangdong/2020XN4291-P0038/2020			None					2.0099766621826687
NODE_0002880	Australia/NSW04/2020			None					1.9969862575111712
NODE_0002880	NODE_0002889	Switzerland	Switzerland	2020.1755191484663	2020.171060591612	2020.2151712266389	4.970892207203149	0.0988882744698259	0.99207256295451
NODE_0002889	Japan/TY-WK-501/2020			None					0.0
NODE_0002889	Japan/TY-WK-521/2020			None					0.9979073185042759
NODE_0002889	NODE_0002890	Switzerland	Switzerland	2020.166765219831	2020.1455935882946	2020.1742659345923	4.970892207203149	0.06532834066771784	0.9920829514364131
NODE_0002890	Japan/TY-WK-012/2020			None					0.0
NODE_0002890	Japan/UT-NCGM02/2020	Japan	Japan	2020.0887978142075	2020.0887978142075	2020.0887978142075	4.97066182555235	-1.000088900581841e-12	0.0
NODE_0002880	NODE_0000035			None					0.0
NODE_0000035	NODE_0000036			None					0.0
NODE_0000036	Guangdong/2020XN4276-P0037/2020			None					1.0063167687960197
NODE_0000036	UnitedArabEmirates/L5630/2020			None					0.997732176092526
NODE_0000035	NODE_0000037			None					0.0
NODE_0000037	Beijing/BJ782/2020			None					1.9970081704328955
NODE_0000037	NODE_0000040	China	China	2020.068726895237	2020.0576184635195	2020.0696721311474	3.9767282666245674	0.0017471711666311126	0.0
NODE_0000040	Wuhan/HB-WH1-126/2020			None					1.996081906826558
NODE_0000040	Thailand/SI202205-NT/2020			None					0.9978959187930738
NODE_0002892	Vietnam/CM99/2020			None					1.9963803273177358
NODE_0002892	USA/CA1/2020_travel_history			None					1.9984920704519755
NODE_0002892	Guangdong/GZ-S6-P0050/2020			None					3.0505820718031664
NODE_0002892	NODE_0002893	Belgium	Belgium	2020.1911172322425	2020.1778539755062	2020.2163458572734	4.970892207203149	0.029563948089181794	1.9848361024308137
NODE_0002893	HongKong/VM20001061-2/2020			None					0.0
NODE_0002893	HongKong/HKU-001a/2020			None					8.881784197001252e-16
NODE_0002892	NODE_0000043	China	China	2020.0584422670418	2020.0490336337361	2020.0642993143745	3.9767282666245674	0.18182512475764565	0.0
NODE_0002892	NODE_0002899	Switzerland	Switzerland	2020.1738750529323	2020.153263094472	2020.1762295081967	4.970892207203149	0.11834142568041388	0.9932572753915849
NODE_0002899	Korea/KCDC2013/2020			None					1.9961118789426475
NODE_0002899	NODE_0002900			None					0.9920616832574733
NODE_0002900	USA/IL2/2020_travel_history			None					0.0
NODE_0002901	NODE_0002902			None					4.9652442741393
NODE_0002902	Australia/VIC1305/2020			None					0.0
